Name,Formula,Class,TC,DB,count,Molecular Weight,Sample,RT [min],Area
PC(16:1_18:1),C42 H80 N O8 P,PC,34,02,52,757.55939,Area: cbr_n62.raw (F1),9.268,342618974.166132
PC(16:1_16:1),C40 H76 N O8 P,PC,32,02,52,729.52826,Area: cbr_n62.raw (F1),7.528,146003678.950012
PE(16:1_18:1),C39 H74 N O8 P,PE,34,02,52,715.51311,Area: cbr_n62.raw (F1),9.693,168160499.088098
TG(4:0_18:1_16:0) +NH4,C41 H76 O6,TG,38,01,45,664.56156,Area: cbr_n62.raw (F1),17.518,52914873.4848937
PC(18:0_18:2),C44 H84 N O8 P,PC,36,02,52,785.5906,Area: cbr_n62.raw (F1),11.319,125386085.339467
PC(16:0_16:1),C40 H78 N O8 P,PC,32,01,52,731.54394,Area: cbr_n62.raw (F1),9.116,198015593.146968
PC(16:0_18:1),C42 H82 N O8 P,PC,34,01,52,759.57513,Area: cbr_n62.raw (F1),11.175,199819662.796747
TG(16:0_16:0_16:1) +NH4,C51 H96 O6,TG,48,01,49,804.71763,Area: cbr_n62.raw (F1),21.056,2263784.70154888
TG(16:1_16:1_16:0) +NH4,C51 H94 O6,TG,48,02,49,802.70214,Area: cbr_n62.raw (F1),20.595,359066025.89503
TG(16:0_16:1_18:1) +NH4,C53 H98 O6,TG,50,02,52,830.73307,Area: cbr_n62.raw (F1),21.021,88377.3771397148
TG(16:0_16:0_18:1) +NH4,C53 H100 O6,TG,50,01,47,832.74885,Area: cbr_n62.raw (F1),21.39,270621574.83128
PE(16:0_18:1),C39 H76 N O8 P,PE,34,01,52,717.52894,Area: cbr_n62.raw (F1),11.685,111137572.424532
PE(18:1_18:1),C41 H78 N O8 P,PE,36,02,52,743.54441,Area: cbr_n62.raw (F1),11.827,84593170.5552634
TG(16:0_18:1_18:1) +NH4,C55 H102 O6,TG,52,02,33,858.76436,Area: cbr_n62.raw (F1),21.356,35739.0634165474
PE(18:0_18:3),C41 H76 N O8 P,PE,36,03,52,741.52894,Area: cbr_n62.raw (F1),10.098,30143682.8289572
PC(16:0_18:3),C42 H78 N O8 P,PC,34,03,52,755.54391,Area: cbr_n62.raw (F1),7.879,72529247.3701929
PC(18:1_18:3),C44 H80 N O8 P,PC,36,04,52,781.55948,Area: cbr_n62.raw (F1),8.396,79320307.1162146
PE(16:1_16:1),C37 H70 N O8 P,PE,32,02,52,687.48206,Area: cbr_n62.raw (F1),7.856,31136633.9715922
PC(18:1_18:2),C44 H82 N O8 P,PC,36,03,52,783.57498,Area: cbr_n62.raw (F1),9.671,117410960.484097
TG(16:1_16:1_18:1) +NH4,C53 H96 O6,TG,50,03,19,828.71772,Area: cbr_n62.raw (F1),20.571,250842284.869567
TG(16:0_12:0_16:1) +NH4,C47 H88 O6,TG,44,01,31,748.65527,Area: cbr_n62.raw (F1),19.999,7467.13680350977
LPC(18:1),C26 H52 N O7 P,LPC,18,01,51,521.34616,Area: cbr_n62.raw (F1),3.023,33383156.8950683
TG(16:1_16:1_16:1) +NH4,C51 H92 O6,TG,48,03,39,800.68646,Area: cbr_n62.raw (F1),19.98,164806697.80062
PE(16:1_18:2),C39 H72 N O8 P,PE,34,03,52,713.49779,Area: cbr_n62.raw (F1),8.208,40305368.3225605
PE(16:0_16:1),C37 H72 N O8 P,PE,32,01,52,689.49767,Area: cbr_n62.raw (F1),9.55,41545691.0278122
LPC(16:1),C24 H48 N O7 P,LPC,16,01,52,493.31494,Area: cbr_n62.raw (F1),2.151,29178013.0996081
PE(12:0p_6:0),C23 H46 N O7 P,PE,18,0p,51,479.29985,Area: cbr_n62.raw (F1),3.141,18117507.6123495
