Name,Formula,Molecular Weight,RT [min],Area (Max.),sample,area,count,RT,Class,FA,FA Group Key,TC,DB,Batch,StandardsName,Conc,log.conc,slope,intercept,adj.r.squared,conc_mgmL
LPC(18:1),C26 H52 N O7 P,521.3465,3.238,414092750.584583,Area: Standard3B2.raw (F2),184905.291287304,32,3.061,LPC,18:01,18_1,18,1,B2,3,0.1,-1,1.1514973857308464,6.473710089244089,0.9351493829908879,0.35064091637096806
DG(18:1_18:1) +NH4,C39 H75 N O5,637.56369,15.35,365217.029557479,Area: Standard3B2.raw (F2),24658.9665669722,12,15.418,DG,18:1_18:1,36_2,36,2,B2,3,0.1,-1,1.3351249758514996,5.464299097679578,0.8433461549480881,0.4479095642617485
PE(16:0_18:1),C39 H76 N O8 P,717.52932,11.847,170714421.761119,Area: Standard3B2.raw (F2),102973.979670218,32,11.847,PE,16:0_18:1,34_1,34,1,B2,3,0.1,-1,1.1014497904278249,6.106339668906492,0.9856622053798972,0.37050650747437447
PE(18:0_18:1),C41 H80 N O7 P,729.56465,15.276,249056022.187329,Area: Standard3B2.raw (F2),139562.892819652,19,15.36,PEp,18:0_18:1,36_1,36,1,B2,3,0.1,-1,1.2001129425328938,6.357351219803734,0.9917672842791492,0.3640772224596525
PC(18:1_18:1),C44 H84 N O8 P,785.58981000000006,11.277,998620005.120719,Area: Standard3B2.raw (F2),651504.688646147,20,11.462,PC,18:1_18:1,36_2,36,2,B2,3,0.1,-1,1.0894256306157475,6.926922552035866,0.9858610700281698,0.3600026594985998
PI(34:2),C43 H79 O13 P,834.52455,8.354,88157750.9432684,Area: Standard3B2.raw (F2),36174.8827743416,29,8.31,PI,16:0_18:2,34_2,34,2,B2,3,0.1,-1,1.1555604689652457,5.798524649989888,0.9802943951471738,0.34192151456820535
TG(18:1_18:1_18:1) +NH4,C57 H107 N O6,901.80726,21.343,310832446.923526,Area: Standard3B2.raw (F2),747364.784251285,24,21.312,TG,18:1_18:1_18:1,54_3,54,3,B2,3,0.1,-1,0.9082195262353197,6.844702757262392,0.9971344712250704,0.34324455478960897
LPC(18:1),C26 H52 N O7 P,521.3465,3.238,414092750.584583,Area: Standard4B2.raw (F6),3786119.9720609,32,3.061,LPC,18:01,18_1,18,1,B2,4,1,0,1.1514973857308464,6.473710089244089,0.9351493829908879,1.0949818089315684
Cer(d18:1_17:0),C35 H69 N O3,551.52663,12.306,38110154.6493222,Area: Standard4B2.raw (F6),125397.458126188,24,12.21,Cer,18:1_17:0,35_1,35,1,B2,4,1,0,1.388959924498786,5.075097075453331,0.9746953525059584,1.0168373159226205
DG(18:1-18:1),C39 H72 O5,620.53639,15.437,91630618.2585435,Area: Standard4B2.raw (F6),11565.514871032,19,15.418,DG,18:1_18:1,36_2,36,2,B2,4,1,0,1.3351249758514996,5.464299097679578,0.8433461549480881,0.3501336192146938
DG(18:1_18:1) +NH4,C39 H75 N O5,637.56369,15.35,365217.029557479,Area: Standard4B2.raw (F6),365217.029557479,12,15.418,DG,18:1_18:1,36_2,36,2,B2,4,1,0,1.3351249758514996,5.464299097679578,0.8433461549480881,1.0763654658441377
SM(35_1),C40 H81 N2 O6 P,716.5815,10.127,13983290.9205087,Area: Standard4B2.raw (F6),87429.655056652,21,9.98,SM,18:1_17:0,35_1,35,1,B2,4,1,0,1.3012163894517386,4.904167365673177,0.9686695309188228,1.0292316761692002
PE(16:0_18:1),C39 H76 N O8 P,717.52932,11.847,170714421.761119,Area: Standard4B2.raw (F6),1753391.37540543,32,11.847,PE,16:0_18:1,34_1,34,1,B2,4,1,0,1.1014497904278249,6.106339668906492,0.9856622053798972,1.133002348398079
