Name,Formula,MainIon,Calc Mass,Class,FA,FA Group Key
CerP(d21:2_18:0+O),C39 H76 O7 N1 P1,#NAME?,701.5359,CerP,d21:2_18:0+O,d39:2+O
CerP(d21:2_18:0+O),C39 H76 O7 N1 P1,#NAME?,701.5359,CerP,d21:2_18:0+O,d39:2+O
CerP(d22:1_18:2+2O),C40 H76 O8 N1 P1,#NAME?,729.5309,CerP,d22:1_18:2+2O,d40:3+2O
CerP(d40:3+2O),C40 H76 O8 N1 P1,#NAME?,729.5309,CerP,d40:3+2O,d40:3+2O
CerP(m22:0_19:0),C41 H84 O5 N1 P1,#NAME?,701.6087,CerP,m22:0_19:0,m41:0
CerP(t17:1_16:1+2O),C33 H64 O9 N1 P1,#NAME?,649.4319,CerP,t17:1_16:1+2O,t33:2+2O
CerP(t17:1_18:2+2O),C35 H66 O9 N1 P1,#NAME?,675.4475,CerP,t17:1_18:2+2O,t35:3+2O
CerP(t38:1+O),C38 H76 O8 N1 P1,#NAME?,705.5309,CerP,t38:1+O,t38:1+O
DG(16:2),C19 H32 O5,#NAME?,340.225,DG,16:02,16:02
DG(18:2e),C21 H38 O4,#NAME?,354.277,DG,18:2e,18:2e
DG(20:2e),C23 H42 O4,#NAME?,382.3083,DG,20:2e,20:2e
DG(20:3e),C23 H40 O4,#NAME?,380.2927,DG,20:3e,20:3e
DG(22:3e),C25 H44 O4,#NAME?,408.324,DG,22:3e,22:3e
DG(32:3e),C35 H64 O4,#NAME?,548.4805,DG,32:3e,32:3e
DG(32:3e),C35 H64 O4,#NAME?,548.4805,DG,32:3e,32:3e
DG(32:3e),C35 H64 O4,#NAME?,548.4805,DG,32:3e,32:3e
DG(32:3e),C35 H64 O4,#NAME?,548.4805,DG,32:3e,32:3e
DG(32:4e),C35 H62 O4,#NAME?,546.4648,DG,32:4e,32:4e
DG(32:4e),C35 H62 O4,#NAME?,546.4648,DG,32:4e,32:4e
DG(34:3e),C37 H68 O4,#NAME?,576.5118,DG,34:3e,34:3e
DG(34:3e),C37 H68 O4,#NAME?,576.5118,DG,34:3e,34:3e
DG(34:3e),C37 H68 O4,#NAME?,576.5118,DG,34:3e,34:3e
DG(34:3e),C37 H68 O4,#NAME?,576.5118,DG,34:3e,34:3e
DG(34:4e),C37 H66 O4,#NAME?,574.4961,DG,34:4e,34:4e
DG(34:4e),C37 H66 O4,#NAME?,574.4961,DG,34:4e,34:4e
DG(34:4e),C37 H66 O4,#NAME?,574.4961,DG,34:4e,34:4e
DG(34:5e),C37 H64 O4,#NAME?,572.4805,DG,34:5e,34:5e
DG(36:5e),C39 H68 O4,#NAME?,600.5118,DG,36:5e,36:5e
DG(36:6e),C39 H66 O4,#NAME?,598.4961,DG,36:6e,36:6e
DG(42:3),C45 H82 O5,#NAME?,702.6162,DG,42:03:00,42:03:00
DG(6:0_10:1),C19 H34 O5,#NAME?,342.2406,DG,6:0_10:1,16:01
DG(8:0_8:0),C19 H36 O5,#NAME?,344.2563,DG,8:0_8:0,16:00
LPC(12:0),C20 H42 O7 N1 P1,#NAME?,439.2699,LPC,12:00,12:00
LPC(14:0),C22 H46 O7 N1 P1,#NAME?,467.3012,LPC,14:00,14:00
LPC(14:1),C22 H44 O7 N1 P1,#NAME?,465.2855,LPC,14:01,14:01
LPC(16:0),C24 H50 O7 N1 P1,#NAME?,495.3325,LPC,16:00,16:00
LPC(16:0),C24 H50 O7 N1 P1,#NAME?,495.3325,LPC,16:00,16:00
LPC(16:0),C24 H50 O7 N1 P1,#NAME?,495.3325,LPC,16:00,16:00
LPC(16:1),C24 H48 O7 N1 P1,#NAME?,493.3168,LPC,16:01,16:01
LPC(16:1),C24 H48 O7 N1 P1,#NAME?,493.3168,LPC,16:01,16:01
LPC(16:1),C24 H48 O7 N1 P1,#NAME?,493.3168,LPC,16:01,16:01
LPC(16:1),C24 H48 O7 N1 P1,#NAME?,493.3168,LPC,16:01,16:01
LPC(16:2),C24 H46 O7 N1 P1,#NAME?,491.3012,LPC,16:02,16:02
LPC(16:3),C24 H44 O7 N1 P1,#NAME?,489.2855,LPC,16:03,16:03
LPC(17:0),C25 H52 O7 N1 P1,#NAME?,509.3481,LPC,17:00,17:00
LPC(17:1),C25 H50 O7 N1 P1,#NAME?,507.3325,LPC,17:01,17:01
LPC(18:0),C26 H54 O7 N1 P1,#NAME?,523.3638,LPC,18:00,18:00
LPC(18:1),C26 H52 O7 N1 P1,#NAME?,521.3481,LPC,18:01,18:01
LPC(18:1),C26 H52 O7 N1 P1,#NAME?,521.3481,LPC,18:01,18:01
LPC(18:1),C26 H52 O7 N1 P1,#NAME?,521.3481,LPC,18:01,18:01
LPC(18:1),C26 H52 O7 N1 P1,#NAME?,521.3481,LPC,18:01,18:01
LPC(18:2),C26 H50 O7 N1 P1,#NAME?,519.3325,LPC,18:02,18:02
LPC(18:2),C26 H50 O7 N1 P1,#NAME?,519.3325,LPC,18:02,18:02
LPC(18:3),C26 H48 O7 N1 P1,#NAME?,517.3168,LPC,18:03,18:03
LPC(18:4),C26 H46 O7 N1 P1,#NAME?,515.3012,LPC,18:04,18:04
LPC(20:1),C28 H56 O7 N1 P1,#NAME?,549.3794,LPC,20:01,20:01
PC(16:0_12:0),C36 H72 O8 N1 P1,#NAME?,677.4996,PC,16:0_12:0,28:00:00
PC(16:0_14:0),C38 H76 O8 N1 P1,#NAME?,705.5309,PC,16:0_14:0,30:00:00
PC(16:0_16:0),C40 H80 O8 N1 P1,#NAME?,733.5622,PC,16:0_16:0,32:00:00
PC(16:0_16:1),C40 H78 O8 N1 P1,#NAME?,731.5465,PC,16:0_16:1,32:01:00
PC(16:0_16:1),C40 H78 O8 N1 P1,#NAME?,731.5465,PC,16:0_16:1,32:01:00
PC(16:0_16:1),C40 H78 O8 N1 P1,#NAME?,731.5465,PC,16:0_16:1,32:01:00
PC(16:0_16:1),C40 H78 O8 N1 P1,#NAME?,731.5465,PC,16:0_16:1,32:01:00
PC(16:0_18:1),C42 H82 O8 N1 P1,#NAME?,759.5778,PC,16:0_18:1,34:01:00
PC(16:0_18:1),C42 H82 O8 N1 P1,#NAME?,759.5778,PC,16:0_18:1,34:01:00
PC(16:0_18:1),C42 H82 O8 N1 P1,#NAME?,759.5778,PC,16:0_18:1,34:01:00
PC(16:0_18:3),C42 H78 O8 N1 P1,#NAME?,755.5465,PC,16:0_18:3,34:03:00
PC(16:0_18:3),C42 H78 O8 N1 P1,#NAME?,755.5465,PC,16:0_18:3,34:03:00
PC(16:1),C24 H46 O8 N1 P1,#NAME?,507.2961,PC,16:01,16:01
PC(16:1_14:0),C38 H74 O8 N1 P1,#NAME?,703.5152,PC,16:1_14:0,30:01:00
PC(16:1_14:1),C38 H72 O8 N1 P1,#NAME?,701.4996,PC,16:1_14:1,30:02:00
PC(16:1_16:1),C40 H76 O8 N1 P1,#NAME?,729.5309,PC,16:1_16:1,32:02:00
PC(16:1_16:1),C40 H76 O8 N1 P1,#NAME?,729.5309,PC,16:1_16:1,32:02:00
PC(16:1_17:0),C41 H80 O8 N1 P1,#NAME?,745.5622,PC,16:1_17:0,33:01:00
PC(16:1_18:1),C42 H80 O8 N1 P1,#NAME?,757.5622,PC,16:1_18:1,34:02:00
