Name,LSFormula,RT,MainIon,Calc Mass,Class,FA,FA Group Key,C,H,N,O,P,S,Formula
CerP(d21:2_18:0+O),C39 H76 O7 N1 P1,11.352,+H,701.5359,CerP,d21:2_18:0+O,d39:2+O,39,76,1,7,1,,C39H76NO7P
CerP(d21:2_18:0+O),C39 H76 O7 N1 P1,12.969,+H,701.5359,CerP,d21:2_18:0+O,d39:2+O,39,76,1,7,1,,C39H76NO7P
CerP(d22:1_18:2+2O),C40 H76 O8 N1 P1,8.441,+H,729.5309,CerP,d22:1_18:2+2O,d40:3+2O,40,76,1,8,1,,C40H76NO8P
CerP(d40:3+2O),C40 H76 O8 N1 P1,27.105,+H,729.5309,CerP,d40:3+2O,d40:3+2O,40,76,1,8,1,,C40H76NO8P
CerP(m22:0_19:0),C41 H84 O5 N1 P1,4.763,+H,701.6087,CerP,m22:0_19:0,m41:0,41,84,1,5,1,,C41H84NO5P
CerP(t17:1_16:1+2O),C33 H64 O9 N1 P1,3.874,+H,649.4319,CerP,t17:1_16:1+2O,t33:2+2O,33,64,1,9,1,,C33H64NO9P
CerP(t17:1_18:2+2O),C35 H66 O9 N1 P1,3.956,+H,675.4475,CerP,t17:1_18:2+2O,t35:3+2O,35,66,1,9,1,,C35H66NO9P
CerP(t38:1+O),C38 H76 O8 N1 P1,8.66,+H,705.5309,CerP,t38:1+O,t38:1+O,38,76,1,8,1,,C38H76NO8P
DG(16:2),C19 H32 O5,1.309,+H,340.225,DG,16:2,16:2,19,32,0,5,0,,C19H32O5
DG(18:2e),C21 H38 O4,1.705,+H,354.277,DG,18:2e,18:2e,21,38,0,4,0,,C21H38O4
DG(20:2e),C23 H42 O4,17.476,+H,382.3083,DG,20:2e,20:2e,23,42,0,4,0,,C23H42O4
DG(20:3e),C23 H40 O4,16.02,+H,380.2927,DG,20:3e,20:3e,23,40,0,4,0,,C23H40O4
DG(22:3e),C25 H44 O4,17.478,+H,408.324,DG,22:3e,22:3e,25,44,0,4,0,,C25H44O4
DG(32:3e),C35 H64 O4,7.835,+H,548.4805,DG,32:3e,32:3e,35,64,0,4,0,,C35H64O4
DG(32:3e),C35 H64 O4,12.806,+H,548.4805,DG,32:3e,32:3e,35,64,0,4,0,,C35H64O4
DG(32:3e),C35 H64 O4,16.038,+H,548.4805,DG,32:3e,32:3e,35,64,0,4,0,,C35H64O4
DG(32:3e),C35 H64 O4,20.545,+H,548.4805,DG,32:3e,32:3e,35,64,0,4,0,,C35H64O4
DG(32:4e),C35 H62 O4,6.529,+H,546.4648,DG,32:4e,32:4e,35,62,0,4,0,,C35H62O4
DG(32:4e),C35 H62 O4,7.808,+H,546.4648,DG,32:4e,32:4e,35,62,0,4,0,,C35H62O4
DG(34:3e),C37 H68 O4,11.637,+H,576.5118,DG,34:3e,34:3e,37,68,0,4,0,,C37H68O4
DG(34:3e),C37 H68 O4,15.125,+H,576.5118,DG,34:3e,34:3e,37,68,0,4,0,,C37H68O4
DG(34:3e),C37 H68 O4,17.469,+H,576.5118,DG,34:3e,34:3e,37,68,0,4,0,,C37H68O4
DG(34:3e),C37 H68 O4,21.369,+H,576.5118,DG,34:3e,34:3e,37,68,0,4,0,,C37H68O4
DG(34:4e),C37 H66 O4,8.003,+H,574.4961,DG,34:4e,34:4e,37,66,0,4,0,,C37H66O4
DG(34:4e),C37 H66 O4,8.558,+H,574.4961,DG,34:4e,34:4e,37,66,0,4,0,,C37H66O4
DG(34:4e),C37 H66 O4,9.652,+H,574.4961,DG,34:4e,34:4e,37,66,0,4,0,,C37H66O4
DG(34:5e),C37 H64 O4,7.506,+H,572.4805,DG,34:5e,34:5e,37,64,0,4,0,,C37H64O4
DG(36:5e),C39 H68 O4,8.367,+H,600.5118,DG,36:5e,36:5e,39,68,0,4,0,,C39H68O4
DG(36:6e),C39 H66 O4,7.357,+H,598.4961,DG,36:6e,36:6e,39,66,0,4,0,,C39H66O4
DG(42:3),C45 H82 O5,4.754,+H,702.6162,DG,42:3,42:3,45,82,0,5,0,,C45H82O5
DG(6:0_10:1),C19 H34 O5,1.159,+H,342.2406,DG,6:0_10:1,16:1,19,34,0,5,0,,C19H34O5
DG(8:0_8:0),C19 H36 O5,1.368,+H,344.2563,DG,8:0_8:0,16:0,19,36,0,5,0,,C19H36O5
LPC(12:0),C20 H42 O7 N1 P1,1.491,+H,439.2699,LPC,12:0,12:0,20,42,1,7,1,,C20H42NO7P
LPC(14:0),C22 H46 O7 N1 P1,1.967,+H,467.3012,LPC,14:0,14:0,22,46,1,7,1,,C22H46NO7P
LPC(14:1),C22 H44 O7 N1 P1,1.61,+H,465.2855,LPC,14:1,14:1,22,44,1,7,1,,C22H44NO7P
LPC(16:0),C24 H50 O7 N1 P1,1.796,+H,495.3325,LPC,16:0,16:0,24,50,1,7,1,,C24H50NO7P
LPC(16:0),C24 H50 O7 N1 P1,2.809,+H,495.3325,LPC,16:0,16:0,24,50,1,7,1,,C24H50NO7P
LPC(16:0),C24 H50 O7 N1 P1,3.53,+H,495.3325,LPC,16:0,16:0,24,50,1,7,1,,C24H50NO7P
